,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
0,6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,4.5,$$,10002,"['pickup', 'delivery']",765,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
1,BbMUXd69i0tlWS2aoppwaQ,El Camion,194 Ave A,4.0,$$,10009,"['pickup', 'delivery']",696,"[{'alias': 'mexican', 'title': 'Mexican'}]"
2,RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,253 Broome St,4.0,$$,10002,"['pickup', 'delivery']",1110,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
3,9aJ1MVTthZw3QjqoG7mPjg,Rosie's,29 E 2nd St,4.0,$$,10003,"['pickup', 'delivery']",732,"[{'alias': 'mexican', 'title': 'Mexican'}]"
4,f7g3GhoQs9nQVTJEL2p48Q,Gran Electrica,5 Front St,3.5,$$,11201,"['pickup', 'delivery']",485,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
5,OwH9eXxsBeeYl8s7TXUBiA,San Blas,140 Montague St,4.5,$$,11201,"['pickup', 'delivery']",56,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]"
6,8CTaeOtqr461Ah5yWcnCPw,Fatty Daddy Taco,152 Smith St,4.0,$$,11201,"['pickup', 'delivery']",169,"[{'alias': 'mexican', 'title': 'Mexican'}]"
7,mhrLDFTxUzW2koRAzjlt5g,Chavela's,736 Franklin Ave,4.0,$$,11238,"['pickup', 'delivery']",1100,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
8,9_CEU7Wmvmwlyvqr-PJD6w,Ofrenda,113 7th Ave S,4.0,$$,10014,"['pickup', 'delivery']",977,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
9,znlol6dCKwjoXpZZwV_ZOg,Nacho Macho Taco,82 5th Ave,4.5,$,11217,"['pickup', 'delivery']",192,"[{'alias': 'mexican', 'title': 'Mexican'}]"
10,PAJdNrD4HFBN16OAFeDx4A,Ponche Taqueria & Cantina,420 W 49th St,4.0,$$,10019,['delivery'],506,"[{'alias': 'mexican', 'title': 'Mexican'}]"
11,fJXCMGOhaS6rKGjoGldSSQ,Taqueria Tepango,568 Myrtle Ave,4.0,$,11205,['delivery'],220,"[{'alias': 'mexican', 'title': 'Mexican'}]"
12,nrwOQSXoRXfAYhkdjiUk8g,Toro Loco,15 Stone St,4.0,$$,10004,"['pickup', 'delivery']",262,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
13,mmAlHhnTDXIohPC3wfl0hQ,Mesa Coyoacan,372 Graham Ave,4.0,$$,11211,"['pickup', 'delivery']",769,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
14,dgaNriM1VdI2nGochhHE_g,Casa Enrique,5-48 49th Ave,4.0,$$,11101,"['pickup', 'delivery']",1232,"[{'alias': 'mexican', 'title': 'Mexican'}]"
15,XipQLDbyTl5tsLlyzAWzug,Jajaja Plantas Mexicana,162 E Broadway,4.5,$$,10002,"['pickup', 'delivery', 'restaurant_reservation']",974,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bars', 'title': 'Bars'}]"
16,IfIyjm4SfORGYPbaAWST3g,Mexicue,225 5th Ave,4.0,$$,10010,"['pickup', 'delivery']",504,"[{'alias': 'mexican', 'title': 'Mexican'}]"
