,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
0,9WgsvzaiXNAmmQGD0uQxFQ,Thai Holic,372 Myrtle Ave,4.5,$$,11205,"['pickup', 'delivery']",455,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}]"
1,B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,5 E 19th St,4.5,$$,10003,"['pickup', 'delivery']",3549,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
2,jjJc_CrkB2HodEinB6cWww,LoveMama,174 2nd Ave,4.5,$$,10003,"['pickup', 'delivery']",5198,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]"
3,wGFSTTB6b4MHJJUzBnVJeg,Top Thai Greenwich,235 Sullivan St,4.5,$$,10012,"['pickup', 'delivery']",1536,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'halal', 'title': 'Halal'}]"
4,-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave,4.5,$$,10021,"['pickup', 'delivery']",2382,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
5,feY7PgoRjCp2qReaIitRkQ,Boran,462 Court St,4.5,$$,11231,"['pickup', 'delivery']",179,"[{'alias': 'thai', 'title': 'Thai'}]"
6,qrydcGQpeDP_1oFvx3qOeg,Somtum Der,85 Ave A,4.0,$$,10009,"['pickup', 'delivery']",753,"[{'alias': 'thai', 'title': 'Thai'}]"
7,MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,766 9th Ave,4.0,$$,10019,"['pickup', 'delivery']",2566,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
8,l_gQf_4NgPMJcx2OkjsMfg,Noods n’ Chill,170 S 3rd St,4.0,$$,11211,"['pickup', 'delivery']",77,"[{'alias': 'thai', 'title': 'Thai'}]"
9,XgiG7K7ubHsj2JJ-c2sXnw,Thai Diner,186 Mott St,4.0,$$,10012,['delivery'],110,"[{'alias': 'thai', 'title': 'Thai'}]"
10,liGIz8CzhyS1udx1aefjng,Williamsburg Thai Cuisine,212 Bedford Ave,4.0,$$,11249,"['pickup', 'delivery']",238,"[{'alias': 'thai', 'title': 'Thai'}]"
11,RrPIJvmje1qb9iaYd6jH0g,Pinto Restaurant,128 Montague St,4.0,$$,11201,"['pickup', 'delivery']",220,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]"
12,VoAuIReq_cPUrFwxbWqG_Q,SalaThai Restaurant,307 Amsterdam Ave,4.5,$$,10023,"['pickup', 'delivery']",401,"[{'alias': 'thai', 'title': 'Thai'}]"
13,0IFDnYf3bhqxJR6hVrG7Gw,Top Thai 55 - Carmine,55 Carmine St,4.5,$$,10014,"['pickup', 'delivery', 'restaurant_reservation']",381,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
